SURVEY:  PS1_HST_COMBINED(CANDELS)
SNID: stone 
IAUC: UNKNOWN
CID: stone
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJKL  # BGVRXIZSTUCWYMJNHLOPQ -> abcdefghijklmnopqrstu
RA:   189.319890 deg
DECL:    62.278179 deg
MWEBV: 0.08
REDSHIFT_HELIO: 1.8 +- 0.02 
REDSHIFT_CMB: 1.801112 +- 0.02 
VPEC: -8.1955 +- 250.0 
HOSTGAL_LOGMASS: 11.4 +- 0.31
SEARCH_PEAKMJD: 56474.5
SEARCH_PEAKMJDERR: 5
PIXSIZE:  0.2  # arcSeconds
DIST_MOD: 26.20


NOBS: 18
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56403.398 f125w NULL 0.784920 0.372125 27.7629 0.47409278
OBS: 56457.501 f125w NULL 3.58718 0.503889 26.1131 0.14046953
OBS: 56467.888 f125w NULL 6.81473 0.519793 25.4164 0.076274821
OBS: 56490.590 f125w NULL 7.48891 0.614322 25.3140 0.082030940
OBS: 56513.396 f125w NULL 4.06038 0.531948 25.9786 0.13100966
OBS: 56531.078 f125w NULL 1.59934 0.614342 26.9902 0.38412280
OBS: 56474.380 f139m NULL 6.79038 1.27894 25.4203 0.18834563
OBS: 56474.510 f140w NULL 7.23903 0.816614 25.3508 0.11280721
OBS: 56474.912 f153m NULL 6.73340 1.01823 25.4294 0.15122009
OBS: 56403.405 f160w NULL 0.684648 0.624775 27.9113 0.91254979
OBS: 56457.508 f160w NULL 4.43110 0.674260 25.8837 0.15216551
OBS: 56467.896 f160w NULL 5.17395 0.645724 25.7154 0.12480287
OBS: 56474.519 f160w NULL 8.11575 0.628108 25.2267 0.077393772
OBS: 56490.584 f160w NULL 6.29223 0.723044 25.5030 0.11491071
OBS: 56513.404 f160w NULL 5.53903 0.727968 25.6414 0.13142528
OBS: 56531.057 f160w NULL 3.82893 0.681317 26.0423 0.17793933
OBS: 56551.177 f160w NULL 2.98136 0.534340 26.3140 0.17922687
END:
